,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
1634,1540632064_TCSG.D4L7.B1_Align,1,1.5940740740740744,2.4698342718892374,2.353,1.447399998850028,22.430843756314648,0.9056000011499753,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632064_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1635,1540632064_TCSG.D4L7.B1_Align,0,1.5940740740740744,2.173006116764227,2.353,1.447399998850028,22.430843756314648,0.9056000011499753,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540632064_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1636,1540623996_TCSP.A4L6.B2_Align,0,4.9345454545454555,2.234381672908914,7.24,-12.983040910778122,52.40993743557766,20.223040910778142,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540623996_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1637,1540633435_TCSG.D4L7.B1_Align,1,10.963978723404256,1.4169344022823818,21.358,4.971994616380612,7.067273896099411,16.386040777585517,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633435_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1638,1540631069_TCSP.A4L6.B2_Align,1,3.5473620689655174,3.986884886784822,7.24,-5.155429034021149,0.119537705745536,9.923061688876599,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540631069_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1639,1540624096_TCSP.A4L6.B2_Align,1,3.3355714285714235,2.347059716416086,19.91,6.074186837045915,2.154338409333438,13.916831260627307,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624096_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1640,1540624754_TCSP.A4L6.B2_Align,1,64.82746511627906,1.9898463622914044,156.565,50.022186522545425,64.71608121226504,106.54281348733282,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624754_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1641,1540622059_TCTPV.4R5.B2_Align,1,5.534789473684209,1.7162856682839718,9.774,5.357639543712143,1.128526352105772,4.7558107491936825,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540622059_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1642,1540630082_TCTPH.4R2.B2_Align,1,2.034689655172414,3.8407329050085,5.0680000000000005,1.0076028722434611,1.4576487121163948,4.139992841101674,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540630082_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1643,1540633394_TCSG.D4L7.B1_Align,0,13.620250000000002,1.2489184652528504,23.168000000000003,6.642581699213922,38.37558316592847,16.52541832480824,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633394_TCSG.D4L7.B1_Align,TCSG,PROTON,I
