Timestamp,position,BLMTI.04R5.B2I10_TCTPV.4R5.B2
1459606388230,2.935,2.8960000000000003e-06
1459606388240,2.935,7.240000000000001e-07
1459606388250,2.935,2.1719999999999997e-06
1459606388260,2.935,1.4480000000000002e-06
1459606388270,2.935,1.4480000000000002e-06
1459606388280,2.935,7.240000000000001e-07
1459606388290,2.935,2.1719999999999997e-06
1459606388300,2.935,7.240000000000001e-07
1459606388310,2.935,2.1719999999999997e-06
1459606388320,2.935,1.0859999999999999e-06
1459606388330,2.935,1.4480000000000002e-06
1459606388340,2.935,3.6200000000000004e-07
1459606388350,2.935,2.5340000000000002e-06
1459606388360,2.935,3.6200000000000004e-07
1459606388370,2.935,2.5340000000000002e-06
1459606388380,2.935,7.240000000000001e-07
1459606388390,2.935,2.8960000000000003e-06
1459606388400,2.935,1.81e-06
1459606388410,2.935,3.258e-06
1459606388420,2.935,5.0680000000000004e-06
1459606388430,2.935,5.792000000000001e-06
1459606388440,2.935,5.43e-06
1459606388450,2.935,6.516e-06
1459606388460,2.935,5.43e-06
1459606388470,2.935,5.0680000000000004e-06
1459606388480,2.935,2.1719999999999997e-06
1459606388490,2.935,2.8960000000000003e-06
1459606388500,2.935,1.81e-06
1459606388510,2.935,2.5340000000000002e-06
1459606388520,2.935,0.0
1459606388530,2.935,2.5340000000000002e-06
1459606388540,2.935,1.4480000000000002e-06
1459606388550,2.935,2.5340000000000002e-06
1459606388560,2.935,1.4480000000000002e-06
1459606388570,2.935,2.5340000000000002e-06
1459606388580,2.935,3.6200000000000004e-07
1459606388590,2.935,2.8960000000000003e-06
1459606388600,2.935,2.5340000000000002e-06
1459606388610,2.935,4.343999999999999e-06
1459606388620,2.935,2.8960000000000003e-06
1459606388630,2.935,3.62e-06
1459606388640,2.935,2.8960000000000003e-06
1459606388650,2.935,3.258e-06
1459606388660,2.935,2.8960000000000003e-06
1459606388670,2.935,3.62e-06
1459606388680,2.935,1.81e-06
1459606388690,2.935,3.62e-06
1459606388700,2.935,1.0859999999999999e-06
1459606388710,2.935,1.81e-06
1459606388720,2.935,1.4480000000000002e-06
1459606388730,2.935,1.81e-06
1459606388740,2.935,7.240000000000001e-07
1459606388750,2.935,1.0859999999999999e-06
1459606388760,2.935,1.0859999999999999e-06
1459606388770,2.935,7.240000000000001e-07
1459606388780,2.935,7.240000000000001e-07
1459606388790,2.935,1.81e-06
1459606388800,2.935,3.6200000000000004e-07
1459606388810,2.935,2.8960000000000003e-06
1459606388820,2.935,0.0
1459606388830,2.935,2.1719999999999997e-06
1459606388840,2.935,1.0859999999999999e-06
1459606388850,2.935,1.4480000000000002e-06
1459606388860,2.935,7.240000000000001e-07
1459606388870,2.935,2.8960000000000003e-06
1459606388880,2.935,1.0859999999999999e-06
1459606388890,2.935,1.81e-06
1459606388900,2.935,1.4480000000000002e-06
1459606388910,2.935,1.81e-06
1459606388920,2.935,2.5340000000000002e-06
1459606388930,2.935,1.81e-06
1459606388940,2.935,1.0859999999999999e-06
1459606388950,2.935,2.5340000000000002e-06
1459606388960,2.935,1.81e-06
1459606388970,2.935,3.62e-06
1459606388980,2.935,7.240000000000001e-07
1459606388990,2.935,2.8960000000000003e-06
1459606389000,2.935,1.0859999999999999e-06
1459606389010,2.935,2.8960000000000003e-06
1459606389020,2.935,1.0859999999999999e-06
1459606389030,2.935,2.1719999999999997e-06
1459606389040,2.935,1.0859999999999999e-06
1459606389050,2.935,1.4480000000000002e-06
1459606389060,2.935,1.0859999999999999e-06
1459606389070,2.935,1.81e-06
1459606389080,2.935,1.0859999999999999e-06
1459606389090,2.935,2.8960000000000003e-06
1459606389100,2.935,1.0859999999999999e-06
1459606389110,2.935,1.81e-06
1459606389120,2.935,3.62e-06
1459606389130,2.935,7.240000000000001e-07
1459606389140,2.935,3.258e-06
1459606389150,2.935,3.258e-06
1459606389160,2.935,2.1719999999999997e-06
1459606389170,2.935,2.8960000000000003e-06
1459606389180,2.935,1.4480000000000002e-06
1459606389190,2.935,2.5340000000000002e-06
1459606389200,2.935,1.0859999999999999e-06
1459606389210,2.935,1.4480000000000002e-06
1459606389220,2.935,1.4480000000000002e-06
1459606389230,2.935,1.4480000000000002e-06
1459606389240,2.935,3.6200000000000004e-07
1459606389250,2.935,1.81e-06
1459606389260,2.935,1.4480000000000002e-06
1459606389270,2.935,1.4480000000000002e-06
1459606389280,2.935,7.240000000000001e-07
1459606389290,2.935,1.0859999999999999e-06
1459606389300,2.935,1.81e-06
1459606389310,2.935,1.4480000000000002e-06
1459606389320,2.935,1.0859999999999999e-06
1459606389330,2.935,1.4480000000000002e-06
1459606389340,2.935,1.0859999999999999e-06
1459606389350,2.935,2.5340000000000002e-06
1459606389360,2.935,0.0
1459606389370,2.935,1.4480000000000002e-06
1459606389380,2.935,1.0859999999999999e-06
1459606389390,2.935,1.4480000000000002e-06
1459606389400,2.935,7.240000000000001e-07
1459606389410,2.935,7.240000000000001e-07
1459606389420,2.935,1.4480000000000002e-06
1459606389430,2.935,2.1719999999999997e-06
1459606389440,2.935,3.6200000000000004e-07
1459606389450,2.935,2.5340000000000002e-06
1459606389460,2.935,1.81e-06
1459606389470,2.935,2.5340000000000002e-06
1459606389480,2.935,2.1719999999999997e-06
1459606389490,2.935,3.982e-06
1459606389500,2.935,2.5340000000000002e-06
1459606389510,2.935,4.706e-06
1459606389520,2.935,3.258e-06
1459606389530,2.935,4.343999999999999e-06
1459606389540,2.935,3.982e-06
1459606389550,2.935,6.154e-06
1459606389560,2.935,5.43e-06
1459606389570,2.935,7.24e-06
1459606389580,2.935,5.43e-06
1459606389590,2.935,5.792000000000001e-06
1459606389600,2.935,2.5340000000000002e-06
1459606389610,2.935,4.343999999999999e-06
1459606389620,2.935,7.240000000000001e-07
1459606389630,2.935,3.982e-06
1459606389640,2.935,3.6200000000000004e-07
1459606389650,2.935,2.5340000000000002e-06
