Timestamp,position,BLMTI.06L8.B2I10_TCLIB.6L8.B2
1459605188330,-1.71,5.0680000000000004e-06
1459605188340,-1.71,3.982e-06
1459605188350,-1.71,5.0680000000000004e-06
1459605188360,-1.71,4.706e-06
1459605188370,-1.71,5.43e-06
1459605188380,-1.71,5.792000000000001e-06
1459605188390,-1.71,5.0680000000000004e-06
1459605188400,-1.71,5.43e-06
1459605188410,-1.71,4.343999999999999e-06
1459605188420,-1.71,4.706e-06
1459605188430,-1.71,4.706e-06
1459605188440,-1.71,4.343999999999999e-06
1459605188450,-1.71,3.62e-06
1459605188460,-1.71,4.343999999999999e-06
1459605188470,-1.71,3.62e-06
1459605188480,-1.71,3.258e-06
1459605188490,-1.71,2.1719999999999997e-06
1459605188500,-1.71,3.62e-06
1459605188510,-1.71,2.8960000000000003e-06
1459605188520,-1.71,2.8960000000000003e-06
1459605188530,-1.71,1.81e-06
1459605188540,-1.71,2.1719999999999997e-06
1459605188550,-1.71,2.5340000000000002e-06
1459605188560,-1.71,2.8960000000000003e-06
1459605188570,-1.71,2.1719999999999997e-06
1459605188580,-1.71,3.258e-06
1459605188590,-1.71,4.706e-06
1459605188600,-1.71,3.258e-06
1459605188610,-1.71,3.62e-06
1459605188620,-1.71,5.792000000000001e-06
1459605188630,-1.71,6.154e-06
1459605188640,-1.71,5.792000000000001e-06
1459605188650,-1.71,6.154e-06
1459605188660,-1.71,4.706e-06
1459605188670,-1.71,4.706e-06
1459605188680,-1.71,3.982e-06
1459605188690,-1.71,3.982e-06
1459605188700,-1.71,3.62e-06
1459605188710,-1.71,4.706e-06
1459605188720,-1.71,3.258e-06
1459605188730,-1.71,3.982e-06
1459605188740,-1.71,1.81e-06
1459605188750,-1.71,2.1719999999999997e-06
1459605188760,-1.71,1.0859999999999999e-06
1459605188770,-1.71,2.1719999999999997e-06
1459605188780,-1.71,1.81e-06
1459605188790,-1.71,2.5340000000000002e-06
1459605188800,-1.71,1.0859999999999999e-06
1459605188810,-1.71,2.8960000000000003e-06
1459605188820,-1.71,2.5340000000000002e-06
1459605188830,-1.71,3.258e-06
1459605188840,-1.71,3.982e-06
1459605188850,-1.71,2.5340000000000002e-06
1459605188860,-1.71,3.258e-06
1459605188870,-1.71,3.258e-06
1459605188880,-1.71,2.5340000000000002e-06
1459605188890,-1.71,2.1719999999999997e-06
1459605188900,-1.71,2.5340000000000002e-06
1459605188910,-1.71,1.4480000000000002e-06
1459605188920,-1.71,1.4480000000000002e-06
1459605188930,-1.71,1.0859999999999999e-06
1459605188940,-1.71,1.4480000000000002e-06
1459605188950,-1.71,1.0859999999999999e-06
1459605188960,-1.71,1.4480000000000002e-06
1459605188970,-1.71,7.240000000000001e-07
1459605188980,-1.71,1.0859999999999999e-06
1459605188990,-1.71,1.4480000000000002e-06
1459605189000,-1.71,1.0859999999999999e-06
1459605189010,-1.71,7.240000000000001e-07
1459605189020,-1.71,1.0859999999999999e-06
1459605189030,-1.71,3.6200000000000004e-07
1459605189040,-1.71,1.81e-06
1459605189050,-1.71,1.0859999999999999e-06
1459605189060,-1.71,1.4480000000000002e-06
1459605189070,-1.71,1.4480000000000002e-06
1459605189080,-1.71,2.5340000000000002e-06
1459605189090,-1.71,1.81e-06
1459605189100,-1.71,2.1719999999999997e-06
1459605189110,-1.71,2.1719999999999997e-06
1459605189120,-1.71,1.81e-06
1459605189130,-1.71,2.5340000000000002e-06
1459605189140,-1.71,1.0859999999999999e-06
1459605189150,-1.71,2.5340000000000002e-06
1459605189160,-1.71,2.8960000000000003e-06
1459605189170,-1.71,1.81e-06
1459605189180,-1.71,2.5340000000000002e-06
1459605189190,-1.71,2.5340000000000002e-06
1459605189200,-1.71,1.0859999999999999e-06
1459605189210,-1.71,2.5340000000000002e-06
1459605189220,-1.71,1.81e-06
1459605189230,-1.71,1.4480000000000002e-06
1459605189240,-1.71,3.6200000000000004e-07
1459605189250,-1.71,1.81e-06
1459605189260,-1.71,1.4480000000000002e-06
1459605189270,-1.71,1.0859999999999999e-06
1459605189280,-1.71,1.0859999999999999e-06
1459605189290,-1.71,1.81e-06
1459605189300,-1.71,1.4480000000000002e-06
1459605189310,-1.71,1.4480000000000002e-06
1459605189320,-1.71,1.81e-06
1459605189330,-1.71,1.81e-06
1459605189340,-1.71,1.4480000000000002e-06
1459605189350,-1.71,1.81e-06
1459605189360,-1.71,1.81e-06
1459605189370,-1.71,1.4480000000000002e-06
1459605189380,-1.71,1.4480000000000002e-06
1459605189390,-1.71,2.1719999999999997e-06
1459605189400,-1.71,1.81e-06
1459605189410,-1.71,2.5340000000000002e-06
1459605189420,-1.71,1.81e-06
1459605189430,-1.71,3.6200000000000004e-07
1459605189440,-1.71,1.0859999999999999e-06
1459605189450,-1.71,2.1719999999999997e-06
1459605189460,-1.71,1.4480000000000002e-06
1459605189470,-1.71,1.81e-06
1459605189480,-1.71,7.240000000000001e-07
1459605189490,-1.71,1.0859999999999999e-06
1459605189500,-1.71,7.240000000000001e-07
1459605189510,-1.71,1.81e-06
1459605189520,-1.71,1.4480000000000002e-06
1459605189530,-1.71,7.240000000000001e-07
1459605189540,-1.71,2.1719999999999997e-06
1459605189550,-1.71,1.4480000000000002e-06
1459605189560,-1.71,2.1719999999999997e-06
1459605189570,-1.71,1.81e-06
1459605189580,-1.71,1.4480000000000002e-06
1459605189590,-1.71,1.81e-06
1459605189600,-1.71,1.0859999999999999e-06
1459605189610,-1.71,1.81e-06
1459605189620,-1.71,1.4480000000000002e-06
1459605189630,-1.71,1.0859999999999999e-06
1459605189640,-1.71,1.4480000000000002e-06
1459605189650,-1.71,1.0859999999999999e-06
1459605189660,-1.71,1.81e-06
1459605189670,-1.71,1.4480000000000002e-06
1459605189680,-1.71,1.0859999999999999e-06
1459605189690,-1.71,3.6200000000000004e-07
1459605189700,-1.71,7.240000000000001e-07
1459605189710,-1.71,1.4480000000000002e-06
1459605189720,-1.71,1.81e-06
1459605189730,-1.71,7.240000000000001e-07
1459605189740,-1.71,7.240000000000001e-07
1459605189750,-1.71,1.4480000000000002e-06
1459605189760,-1.71,1.4480000000000002e-06
1459605189770,-1.71,1.81e-06
1459605189780,-1.71,7.240000000000001e-07
1459605189790,-1.71,1.81e-06
1459605189800,-1.71,1.81e-06
1459605189810,-1.71,1.81e-06
1459605189820,-1.71,1.0859999999999999e-06
1459605189830,-1.71,7.240000000000001e-07
1459605189840,-1.71,1.4480000000000002e-06
1459605189850,-1.71,7.240000000000001e-07
1459605189860,-1.71,1.4480000000000002e-06
1459605189870,-1.71,7.240000000000001e-07
1459605189880,-1.71,3.6200000000000004e-07
1459605189890,-1.71,7.240000000000001e-07
1459605189900,-1.71,7.240000000000001e-07
1459605189910,-1.71,7.240000000000001e-07
1459605189920,-1.71,7.240000000000001e-07
1459605189930,-1.71,7.240000000000001e-07
1459605189940,-1.71,1.81e-06
1459605189950,-1.71,1.81e-06
1459605189960,-1.71,7.240000000000001e-07
1459605189970,-1.71,1.0859999999999999e-06
1459605189980,-1.71,1.81e-06
1459605189990,-1.71,1.0859999999999999e-06
1459605190000,-1.71,1.4480000000000002e-06
1459605190010,-1.71,1.4480000000000002e-06
1459605190020,-1.71,7.240000000000001e-07
1459605190030,-1.71,7.240000000000001e-07
1459605190040,-1.71,7.240000000000001e-07
1459605190050,-1.71,1.0859999999999999e-06
1459605190060,-1.71,3.6200000000000004e-07
1459605190070,-1.71,1.0859999999999999e-06
1459605190080,-1.71,1.0859999999999999e-06
1459605190090,-1.71,3.6200000000000004e-07
1459605190100,-1.71,7.240000000000001e-07
1459605190110,-1.71,3.6200000000000004e-07
1459605190120,-1.71,7.240000000000001e-07
1459605190130,-1.71,1.81e-06
1459605190140,-1.71,7.240000000000001e-07
1459605190150,-1.71,7.240000000000001e-07
1459605190160,-1.71,7.240000000000001e-07
1459605190170,-1.71,7.240000000000001e-07
1459605190180,-1.71,7.240000000000001e-07
1459605190190,-1.71,7.240000000000001e-07
1459605190200,-1.71,7.240000000000001e-07
1459605190210,-1.71,1.0859999999999999e-06
1459605190220,-1.71,0.0
1459605190230,-1.71,1.4480000000000002e-06
1459605190240,-1.71,3.6200000000000004e-07
1459605190250,-1.71,1.4480000000000002e-06
1459605190260,-1.71,1.0859999999999999e-06
1459605190270,-1.71,1.4480000000000002e-06
1459605190280,-1.71,1.81e-06
1459605190290,-1.71,2.1719999999999997e-06
1459605190300,-1.71,1.4480000000000002e-06
1459605190310,-1.71,7.240000000000001e-07
1459605190320,-1.71,1.4480000000000002e-06
1459605190330,-1.71,1.81e-06
1459605190340,-1.71,7.240000000000001e-07
1459605190350,-1.71,1.4480000000000002e-06
1459605190360,-1.71,7.240000000000001e-07
1459605190370,-1.71,1.4480000000000002e-06
1459605190380,-1.71,7.240000000000001e-07
1459605190390,-1.71,2.1719999999999997e-06
1459605190400,-1.71,2.1719999999999997e-06
1459605190410,-1.71,1.4480000000000002e-06
1459605190420,-1.71,7.240000000000001e-07
1459605190430,-1.71,1.4480000000000002e-06
1459605190440,-1.71,1.0859999999999999e-06
