Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1459608563630,2.87,1.1945999999999999e-05
1459608563640,2.87,1.3394000000000001e-05
1459608563650,2.87,2.9684000000000002e-05
1459608563660,2.87,2.3168000000000002e-05
1459608563670,2.87,2.4254000000000002e-05
1459608563680,2.87,1.1945999999999999e-05
1459608563690,2.87,6.877999999999999e-06
1459608563700,2.87,6.877999999999999e-06
1459608563710,2.87,6.154e-06
1459608563720,2.87,3.982e-06
1459608563730,2.87,4.706e-06
1459608563740,2.87,3.982e-06
1459608563750,2.87,5.0680000000000004e-06
1459608563760,2.87,3.62e-06
1459608563770,2.87,3.982e-06
1459608563780,2.87,3.258e-06
1459608563790,2.87,3.62e-06
1459608563800,2.87,2.8960000000000003e-06
1459608563810,2.87,3.62e-06
1459608563820,2.87,3.62e-06
1459608563830,2.87,3.258e-06
1459608563840,2.87,4.706e-06
1459608563850,2.87,7.602e-06
1459608563860,2.87,6.516e-06
1459608563870,2.87,1.0498e-05
1459608563880,2.87,1.0498e-05
1459608563890,2.87,1.448e-05
1459608563900,2.87,1.1222e-05
1459608563910,2.87,1.3394000000000001e-05
1459608563920,2.87,1.1584000000000001e-05
1459608563930,2.87,1.4842000000000001e-05
1459608563940,2.87,1.4118e-05
1459608563950,2.87,1.7375999999999998e-05
1459608563960,2.87,1.3032e-05
1459608563970,2.87,1.3755999999999998e-05
1459608563980,2.87,1.2308e-05
1459608563990,2.87,1.267e-05
1459608564000,2.87,9.774e-06
1459608564010,2.87,9.774e-06
1459608564020,2.87,7.602e-06
1459608564030,2.87,1.267e-05
1459608564040,2.87,1.3394000000000001e-05
1459608564050,2.87,1.8100000000000003e-05
1459608564060,2.87,1.3394000000000001e-05
1459608564070,2.87,1.7014e-05
1459608564080,2.87,1.3394000000000001e-05
1459608564090,2.87,1.3755999999999998e-05
1459608564100,2.87,9.774e-06
1459608564110,2.87,6.877999999999999e-06
1459608564120,2.87,8.687999999999999e-06
1459608564130,2.87,9.774e-06
1459608564140,2.87,7.964e-06
1459608564150,2.87,7.602e-06
1459608564160,2.87,8.326e-06
1459608564170,2.87,1.086e-05
1459608564180,2.87,6.877999999999999e-06
1459608564190,2.87,5.43e-06
1459608564200,2.87,4.343999999999999e-06
1459608564210,2.87,3.62e-06
1459608564220,2.87,5.43e-06
1459608564230,2.87,4.706e-06
1459608564240,2.87,3.982e-06
1459608564250,2.87,4.706e-06
1459608564260,2.87,4.706e-06
1459608564270,2.87,3.62e-06
1459608564280,2.87,4.706e-06
1459608564290,2.87,4.343999999999999e-06
1459608564300,2.87,1.81e-06
1459608564310,2.87,2.5340000000000002e-06
1459608564320,2.87,2.8960000000000003e-06
1459608564330,2.87,2.8960000000000003e-06
1459608564340,2.87,2.5340000000000002e-06
1459608564350,2.87,4.706e-06
1459608564360,2.87,3.258e-06
1459608564370,2.87,6.154e-06
1459608564380,2.87,4.706e-06
1459608564390,2.87,5.792000000000001e-06
1459608564400,2.87,4.343999999999999e-06
1459608564410,2.87,4.706e-06
1459608564420,2.87,5.0680000000000004e-06
1459608564430,2.87,5.0680000000000004e-06
1459608564440,2.87,6.154e-06
1459608564450,2.87,9.412e-06
1459608564460,2.87,8.326e-06
1459608564470,2.87,1.3755999999999998e-05
1459608564480,2.87,1.086e-05
