Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1459608457900,-3.345,1.3394000000000001e-05
1459608457910,-3.345,7.964e-06
1459608457920,-3.345,9.412e-06
1459608457930,-3.345,6.516e-06
1459608457940,-3.345,6.877999999999999e-06
1459608457950,-3.345,5.792000000000001e-06
1459608457960,-3.345,5.792000000000001e-06
1459608457970,-3.345,5.792000000000001e-06
1459608457980,-3.345,6.154e-06
1459608457990,-3.345,6.516e-06
1459608458000,-3.345,4.706e-06
1459608458010,-3.345,6.154e-06
1459608458020,-3.345,6.877999999999999e-06
1459608458030,-3.345,3.982e-06
1459608458040,-3.345,7.24e-06
1459608458050,-3.345,5.0680000000000004e-06
1459608458060,-3.345,5.43e-06
1459608458070,-3.345,6.154e-06
1459608458080,-3.345,7.24e-06
1459608458090,-3.345,5.792000000000001e-06
1459608458100,-3.345,7.602e-06
1459608458110,-3.345,9.05e-06
1459608458120,-3.345,7.964e-06
1459608458130,-3.345,8.687999999999999e-06
1459608458140,-3.345,8.687999999999999e-06
1459608458150,-3.345,1.0136000000000001e-05
1459608458160,-3.345,1.1222e-05
1459608458170,-3.345,9.05e-06
1459608458180,-3.345,9.412e-06
1459608458190,-3.345,6.154e-06
1459608458200,-3.345,5.0680000000000004e-06
1459608458210,-3.345,5.792000000000001e-06
1459608458220,-3.345,6.154e-06
1459608458230,-3.345,5.0680000000000004e-06
1459608458240,-3.345,5.43e-06
1459608458250,-3.345,5.0680000000000004e-06
1459608458260,-3.345,5.0680000000000004e-06
1459608458270,-3.345,5.43e-06
1459608458280,-3.345,6.877999999999999e-06
1459608458290,-3.345,6.154e-06
1459608458300,-3.345,6.877999999999999e-06
1459608458310,-3.345,6.154e-06
1459608458320,-3.345,9.05e-06
1459608458330,-3.345,5.792000000000001e-06
1459608458340,-3.345,8.687999999999999e-06
1459608458350,-3.345,1.0498e-05
1459608458360,-3.345,1.1222e-05
1459608458370,-3.345,9.412e-06
1459608458380,-3.345,9.05e-06
1459608458390,-3.345,8.687999999999999e-06
1459608458400,-3.345,6.877999999999999e-06
1459608458410,-3.345,4.706e-06
1459608458420,-3.345,5.43e-06
1459608458430,-3.345,4.706e-06
1459608458440,-3.345,5.43e-06
1459608458450,-3.345,4.343999999999999e-06
1459608458460,-3.345,5.43e-06
1459608458470,-3.345,5.43e-06
1459608458480,-3.345,7.602e-06
1459608458490,-3.345,6.877999999999999e-06
1459608458500,-3.345,7.602e-06
1459608458510,-3.345,1.1945999999999999e-05
1459608458520,-3.345,1.1584000000000001e-05
1459608458530,-3.345,1.4842000000000001e-05
