Timestamp,position,BLMTI.05L7.B2I10_TCSG.E5L7.B2
1459607591440,-3.6,6.516e-06
1459607591450,-3.6,4.706e-06
1459607591460,-3.6,3.62e-06
1459607591470,-3.6,1.81e-06
1459607591480,-3.6,2.5340000000000002e-06
1459607591490,-3.6,7.240000000000001e-07
1459607591500,-3.6,2.1719999999999997e-06
1459607591510,-3.6,1.4480000000000002e-06
1459607591520,-3.6,1.4480000000000002e-06
1459607591530,-3.6,2.8960000000000003e-06
1459607591540,-3.6,5.792000000000001e-06
1459607591550,-3.6,5.0680000000000004e-06
1459607591560,-3.6,4.706e-06
1459607591570,-3.6,1.629e-05
1459607591580,-3.6,1.5204e-05
1459607591590,-3.6,2.5340000000000002e-06
1459607591600,-3.6,3.258e-06
1459607591610,-3.6,2.8960000000000003e-06
1459607591620,-3.6,2.8960000000000003e-06
1459607591630,-3.6,1.4480000000000002e-06
1459607591640,-3.6,1.81e-06
1459607591650,-3.6,0.0
1459607591660,-3.6,1.4480000000000002e-06
1459607591670,-3.6,1.0859999999999999e-06
1459607591680,-3.6,7.240000000000001e-07
1459607591690,-3.6,1.0859999999999999e-06
1459607591700,-3.6,1.0859999999999999e-06
1459607591710,-3.6,1.81e-06
1459607591720,-3.6,3.982e-06
1459607591730,-3.6,3.62e-06
1459607591740,-3.6,3.258e-06
1459607591750,-3.6,2.8960000000000003e-06
1459607591760,-3.6,1.81e-06
1459607591770,-3.6,1.0859999999999999e-06
1459607591780,-3.6,3.258e-06
1459607591790,-3.6,2.8960000000000003e-06
1459607591800,-3.6,3.62e-06
1459607591810,-3.6,2.5340000000000002e-06
1459607591820,-3.6,2.8960000000000003e-06
1459607591830,-3.6,2.1719999999999997e-06
1459607591840,-3.6,1.4480000000000002e-06
1459607591850,-3.6,1.4480000000000002e-06
1459607591860,-3.6,1.4480000000000002e-06
1459607591870,-3.6,1.0859999999999999e-06
1459607591880,-3.6,3.6200000000000004e-07
1459607591890,-3.6,1.0859999999999999e-06
1459607591900,-3.6,1.81e-06
1459607591910,-3.6,7.240000000000001e-07
1459607591920,-3.6,2.1719999999999997e-06
1459607591930,-3.6,0.0
1459607591940,-3.6,1.81e-06
1459607591950,-3.6,0.0
1459607591960,-3.6,1.81e-06
1459607591970,-3.6,7.240000000000001e-07
1459607591980,-3.6,1.4480000000000002e-06
1459607591990,-3.6,0.0
1459607592000,-3.6,1.81e-06
1459607592010,-3.6,3.6200000000000004e-07
1459607592020,-3.6,1.81e-06
1459607592030,-3.6,3.6200000000000004e-07
1459607592040,-3.6,2.1719999999999997e-06
1459607592050,-3.6,1.4480000000000002e-06
1459607592060,-3.6,2.8960000000000003e-06
1459607592070,-3.6,3.62e-06
1459607592080,-3.6,3.258e-06
1459607592090,-3.6,3.62e-06
1459607592100,-3.6,3.62e-06
1459607592110,-3.6,2.5340000000000002e-06
1459607592120,-3.6,3.62e-06
1459607592130,-3.6,2.1719999999999997e-06
1459607592140,-3.6,2.8960000000000003e-06
1459607592150,-3.6,7.240000000000001e-07
1459607592160,-3.6,2.1719999999999997e-06
1459607592170,-3.6,1.81e-06
1459607592180,-3.6,1.4480000000000002e-06
1459607592190,-3.6,1.4480000000000002e-06
1459607592200,-3.6,1.4480000000000002e-06
1459607592210,-3.6,1.0859999999999999e-06
1459607592220,-3.6,1.0859999999999999e-06
1459607592230,-3.6,1.0859999999999999e-06
1459607592240,-3.6,1.81e-06
1459607592250,-3.6,1.4480000000000002e-06
1459607592260,-3.6,2.1719999999999997e-06
1459607592270,-3.6,1.0859999999999999e-06
1459607592280,-3.6,2.8960000000000003e-06
1459607592290,-3.6,7.240000000000001e-07
1459607592300,-3.6,2.1719999999999997e-06
1459607592310,-3.6,7.240000000000001e-07
1459607592320,-3.6,7.240000000000001e-07
1459607592330,-3.6,1.0859999999999999e-06
