Timestamp,position,BLMTI.06L7.B2I10_TCSG.6L7.B2
1459601009520,8.99,3.6200000000000004e-07
1459601009530,8.99,0.0
1459601009540,8.99,7.240000000000001e-07
1459601009550,8.99,3.6200000000000004e-07
1459601009560,8.99,7.240000000000001e-07
1459601009570,8.99,0.0
1459601009580,8.99,1.81e-06
1459601009590,8.99,0.0
1459601009600,8.99,7.240000000000001e-07
1459601009610,8.99,0.0
1459601009620,8.99,1.0859999999999999e-06
1459601009630,8.99,0.0
1459601009640,8.99,7.240000000000001e-07
1459601009650,8.99,0.0
1459601009660,8.99,3.6200000000000004e-07
1459601009670,8.99,0.0
1459601009680,8.99,7.240000000000001e-07
1459601009690,8.99,3.6200000000000004e-07
1459601009700,8.99,3.6200000000000004e-07
1459601009710,8.99,3.6200000000000004e-07
1459601009720,8.99,1.0859999999999999e-06
1459601009730,8.99,0.0
