Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1469746994980,0.115,4.343999999999999e-06
1469746994990,0.115,2.1719999999999997e-06
1469746995000,0.115,3.258e-06
1469746995010,0.115,3.62e-06
1469746995020,0.115,5.0680000000000004e-06
1469746995030,0.115,6.877999999999999e-06
1469746995040,0.115,5.43e-06
1469746995050,0.115,5.792000000000001e-06
1469746995060,0.115,8.687999999999999e-06
1469746995070,0.115,8.326e-06
1469746995080,0.115,1.0498e-05
1469746995090,0.115,1.5204e-05
1469746995100,0.115,1.4842000000000001e-05
1469746995110,0.115,1.7014e-05
1469746995120,0.115,2.896e-05
1469746995130,0.115,2.4978e-05
1469746995140,0.115,1.6652e-05
1469746995150,0.115,9.412e-06
1469746995160,0.115,6.877999999999999e-06
1469746995170,0.115,6.154e-06
1469746995180,0.115,5.0680000000000004e-06
1469746995190,0.115,3.258e-06
1469746995200,0.115,3.258e-06
1469746995210,0.115,2.5340000000000002e-06
1469746995220,0.115,3.258e-06
1469746995230,0.115,2.8960000000000003e-06
1469746995240,0.115,3.62e-06
1469746995250,0.115,3.62e-06
1469746995260,0.115,3.258e-06
1469746995270,0.115,5.0680000000000004e-06
1469746995280,0.115,6.516e-06
1469746995290,0.115,1.0498e-05
1469746995300,0.115,1.8462e-05
1469746995310,0.115,1.5566e-05
1469746995320,0.115,1.7375999999999998e-05
1469746995330,0.115,2.3168000000000002e-05
1469746995340,0.115,2.5702e-05
1469746995350,0.115,1.8824e-05
1469746995360,0.115,1.1945999999999999e-05
1469746995370,0.115,9.05e-06
1469746995380,0.115,1.3394000000000001e-05
1469746995390,0.115,1.4842000000000001e-05
1469746995400,0.115,1.1222e-05
1469746995410,0.115,6.877999999999999e-06
1469746995420,0.115,4.343999999999999e-06
1469746995430,0.115,4.343999999999999e-06
1469746995440,0.115,4.706e-06
1469746995450,0.115,3.258e-06
1469746995460,0.115,3.62e-06
1469746995470,0.115,3.258e-06
1469746995480,0.115,3.982e-06
1469746995490,0.115,7.24e-06
1469746995500,0.115,6.516e-06
1469746995510,0.115,7.964e-06
1469746995520,0.115,1.086e-05
1469746995530,0.115,9.05e-06
1469746995540,0.115,2.0272000000000002e-05
1469746995550,0.115,2.6064e-05
1469746995560,0.115,2.6426e-05
1469746995570,0.115,1.991e-05
1469746995580,0.115,2.4254000000000002e-05
1469746995590,0.115,2.2082e-05
1469746995600,0.115,2.0634e-05
1469746995610,0.115,9.774e-06
1469746995620,0.115,6.516e-06
1469746995630,0.115,3.62e-06
1469746995640,0.115,5.43e-06
1469746995650,0.115,5.43e-06
1469746995660,0.115,4.706e-06
1469746995670,0.115,2.8960000000000003e-06
1469746995680,0.115,3.258e-06
1469746995690,0.115,1.81e-06
1469746995700,0.115,2.5340000000000002e-06
1469746995710,0.115,2.1719999999999997e-06
1469746995720,0.115,3.982e-06
1469746995730,0.115,5.792000000000001e-06
1469746995740,0.115,1.4842000000000001e-05
1469746995750,0.115,1.1222e-05
1469746995760,0.115,1.1222e-05
1469746995770,0.115,1.8824e-05
1469746995780,0.115,2.9321999999999998e-05
1469746995790,0.115,1.7375999999999998e-05
1469746995800,0.115,1.1222e-05
1469746995810,0.115,9.05e-06
1469746995820,0.115,1.3394000000000001e-05
1469746995830,0.115,1.1945999999999999e-05
1469746995840,0.115,7.602e-06
1469746995850,0.115,4.706e-06
1469746995860,0.115,4.343999999999999e-06
1469746995870,0.115,3.258e-06
1469746995880,0.115,2.8960000000000003e-06
1469746995890,0.115,2.8960000000000003e-06
1469746995900,0.115,2.8960000000000003e-06
1469746995910,0.115,2.5340000000000002e-06
1469746995920,0.115,4.343999999999999e-06
1469746995930,0.115,2.5340000000000002e-06
1469746995940,0.115,3.62e-06
1469746995950,0.115,2.5340000000000002e-06
1469746995960,0.115,3.982e-06
1469746995970,0.115,8.326e-06
1469746995980,0.115,7.602e-06
1469746995990,0.115,4.343999999999999e-06
1469746996000,0.115,4.706e-06
1469746996010,0.115,1.1945999999999999e-05
1469746996020,0.115,1.7375999999999998e-05
1469746996030,0.115,8.326e-06
1469746996040,0.115,7.964e-06
1469746996050,0.115,8.326e-06
1469746996060,0.115,9.05e-06
1469746996070,0.115,5.43e-06
1469746996080,0.115,6.154e-06
1469746996090,0.115,3.62e-06
1469746996100,0.115,5.43e-06
1469746996110,0.115,3.62e-06
1469746996120,0.115,6.877999999999999e-06
1469746996130,0.115,2.1719999999999997e-06
1469746996140,0.115,3.982e-06
1469746996150,0.115,3.62e-06
1469746996160,0.115,5.792000000000001e-06
1469746996170,0.115,4.343999999999999e-06
1469746996180,0.115,3.62e-06
1469746996190,0.115,7.602e-06
1469746996200,0.115,1.629e-05
1469746996210,0.115,1.448e-05
1469746996220,0.115,1.0498e-05
1469746996230,0.115,1.5566e-05
1469746996240,0.115,4.163e-05
1469746996250,0.115,3.2942e-05
1469746996260,0.115,1.3032e-05
1469746996270,0.115,7.24e-06
1469746996280,0.115,1.1222e-05
1469746996290,0.115,1.267e-05
1469746996300,0.115,8.687999999999999e-06
1469746996310,0.115,3.258e-06
1469746996320,0.115,3.982e-06
1469746996330,0.115,2.8960000000000003e-06
1469746996340,0.115,9.412e-06
1469746996350,0.115,4.706e-06
1469746996360,0.115,4.706e-06
1469746996370,0.115,2.1719999999999997e-06
1469746996380,0.115,5.0680000000000004e-06
1469746996390,0.115,5.43e-06
1469746996400,0.115,5.43e-06
1469746996410,0.115,3.982e-06
1469746996420,0.115,3.62e-06
1469746996430,0.115,6.154e-06
1469746996440,0.115,7.964e-06
1469746996450,0.115,9.774e-06
1469746996460,0.115,1.1222e-05
1469746996470,0.115,1.2308e-05
1469746996480,0.115,1.3394000000000001e-05
1469746996490,0.115,1.1222e-05
1469746996500,0.115,1.1584000000000001e-05
1469746996510,0.115,6.877999999999999e-06
1469746996520,0.115,7.24e-06
1469746996530,0.115,2.5340000000000002e-06
1469746996540,0.115,5.43e-06
1469746996550,0.115,1.81e-06
1469746996560,0.115,4.706e-06
1469746996570,0.115,2.1719999999999997e-06
1469746996580,0.115,5.0680000000000004e-06
1469746996590,0.115,2.1719999999999997e-06
1469746996600,0.115,3.982e-06
1469746996610,0.115,5.0680000000000004e-06
1469746996620,0.115,6.154e-06
1469746996630,0.115,7.602e-06
1469746996640,0.115,7.24e-06
1469746996650,0.115,1.7014e-05
1469746996660,0.115,2.2082e-05
1469746996670,0.115,2.7874e-05
1469746996680,0.115,1.7738e-05
1469746996690,0.115,1.8462e-05
1469746996700,0.115,2.353e-05
1469746996710,0.115,1.9186e-05
1469746996720,0.115,1.267e-05
1469746996730,0.115,5.792000000000001e-06
1469746996740,0.115,7.24e-06
1469746996750,0.115,3.62e-06
1469746996760,0.115,7.964e-06
1469746996770,0.115,2.1719999999999997e-06
1469746996780,0.115,4.706e-06
1469746996790,0.115,2.5340000000000002e-06
1469746996800,0.115,4.343999999999999e-06
1469746996810,0.115,2.8960000000000003e-06
1469746996820,0.115,3.258e-06
1469746996830,0.115,3.982e-06
1469746996840,0.115,8.326e-06
1469746996850,0.115,1.7375999999999998e-05
1469746996860,0.115,8.687999999999999e-06
1469746996870,0.115,7.964e-06
1469746996880,0.115,1.086e-05
1469746996890,0.115,2.4254000000000002e-05
1469746996900,0.115,1.448e-05
1469746996910,0.115,9.412e-06
1469746996920,0.115,6.516e-06
1469746996930,0.115,1.5204e-05
1469746996940,0.115,2.1358e-05
1469746996950,0.115,1.1584000000000001e-05
1469746996960,0.115,9.05e-06
1469746996970,0.115,3.982e-06
1469746996980,0.115,6.516e-06
1469746996990,0.115,3.258e-06
1469746997000,0.115,3.982e-06
1469746997010,0.115,2.8960000000000003e-06
1469746997020,0.115,3.62e-06
1469746997030,0.115,3.258e-06
1469746997040,0.115,3.62e-06
1469746997050,0.115,2.1719999999999997e-06
1469746997060,0.115,3.62e-06
1469746997070,0.115,5.792000000000001e-06
1469746997080,0.115,6.154e-06
1469746997090,0.115,1.3032e-05
1469746997100,0.115,1.629e-05
1469746997110,0.115,2.3168000000000002e-05
