Timestamp,position,BLMTI.04R7.B2I10_TCSG.D4R7.B2
1469747350430,-1.44,1.0136000000000001e-05
1469747350440,-1.44,9.412e-06
1469747350450,-1.44,1.086e-05
1469747350460,-1.44,9.05e-06
1469747350470,-1.44,9.412e-06
1469747350480,-1.44,8.326e-06
1469747350490,-1.44,1.1584000000000001e-05
1469747350500,-1.44,1.267e-05
1469747350510,-1.44,1.1584000000000001e-05
1469747350520,-1.44,1.5566e-05
1469747350530,-1.44,1.5204e-05
1469747350540,-1.44,1.3394000000000001e-05
1469747350550,-1.44,1.0136000000000001e-05
1469747350560,-1.44,1.3394000000000001e-05
1469747350570,-1.44,1.267e-05
1469747350580,-1.44,1.4118e-05
1469747350590,-1.44,9.05e-06
1469747350600,-1.44,1.3755999999999998e-05
1469747350610,-1.44,9.05e-06
1469747350620,-1.44,1.1945999999999999e-05
1469747350630,-1.44,8.687999999999999e-06
1469747350640,-1.44,1.1222e-05
1469747350650,-1.44,8.687999999999999e-06
1469747350660,-1.44,1.0136000000000001e-05
1469747350670,-1.44,9.05e-06
1469747350680,-1.44,1.086e-05
1469747350690,-1.44,1.086e-05
1469747350700,-1.44,9.774e-06
1469747350710,-1.44,1.086e-05
1469747350720,-1.44,1.0136000000000001e-05
1469747350730,-1.44,9.412e-06
1469747350740,-1.44,1.086e-05
1469747350750,-1.44,1.3394000000000001e-05
1469747350760,-1.44,1.3032e-05
1469747350770,-1.44,1.0498e-05
1469747350780,-1.44,9.412e-06
1469747350790,-1.44,1.1222e-05
1469747350800,-1.44,1.4842000000000001e-05
1469747350810,-1.44,9.412e-06
1469747350820,-1.44,1.2308e-05
1469747350830,-1.44,7.602e-06
1469747350840,-1.44,1.086e-05
1469747350850,-1.44,8.326e-06
1469747350860,-1.44,1.448e-05
1469747350870,-1.44,9.05e-06
1469747350880,-1.44,8.326e-06
1469747350890,-1.44,7.964e-06
1469747350900,-1.44,1.1945999999999999e-05
1469747350910,-1.44,8.687999999999999e-06
1469747350920,-1.44,1.086e-05
1469747350930,-1.44,1.0136000000000001e-05
1469747350940,-1.44,1.267e-05
1469747350950,-1.44,1.1222e-05
1469747350960,-1.44,1.1945999999999999e-05
1469747350970,-1.44,1.086e-05
1469747350980,-1.44,1.5204e-05
1469747350990,-1.44,1.2308e-05
1469747351000,-1.44,1.5204e-05
1469747351010,-1.44,9.05e-06
1469747351020,-1.44,1.1222e-05
1469747351030,-1.44,1.0136000000000001e-05
1469747351040,-1.44,1.2308e-05
1469747351050,-1.44,1.0498e-05
1469747351060,-1.44,1.086e-05
1469747351070,-1.44,1.0136000000000001e-05
1469747351080,-1.44,1.0498e-05
1469747351090,-1.44,1.1584000000000001e-05
1469747351100,-1.44,9.412e-06
1469747351110,-1.44,7.964e-06
1469747351120,-1.44,9.412e-06
1469747351130,-1.44,9.412e-06
1469747351140,-1.44,1.0498e-05
1469747351150,-1.44,1.0498e-05
1469747351160,-1.44,1.086e-05
1469747351170,-1.44,1.3032e-05
1469747351180,-1.44,1.448e-05
1469747351190,-1.44,1.267e-05
1469747351200,-1.44,1.267e-05
1469747351210,-1.44,1.3755999999999998e-05
1469747351220,-1.44,1.5928e-05
1469747351230,-1.44,1.1222e-05
1469747351240,-1.44,1.3032e-05
1469747351250,-1.44,1.2308e-05
1469747351260,-1.44,1.3394000000000001e-05
1469747351270,-1.44,1.448e-05
1469747351280,-1.44,1.1945999999999999e-05
1469747351290,-1.44,9.412e-06
1469747351300,-1.44,8.687999999999999e-06
1469747351310,-1.44,1.086e-05
1469747351320,-1.44,9.774e-06
1469747351330,-1.44,8.326e-06
1469747351340,-1.44,8.687999999999999e-06
1469747351350,-1.44,6.154e-06
1469747351360,-1.44,9.774e-06
1469747351370,-1.44,9.774e-06
1469747351380,-1.44,1.086e-05
1469747351390,-1.44,9.412e-06
1469747351400,-1.44,9.05e-06
1469747351410,-1.44,7.964e-06
1469747351420,-1.44,1.1945999999999999e-05
1469747351430,-1.44,1.086e-05
1469747351440,-1.44,1.3394000000000001e-05
1469747351450,-1.44,8.326e-06
1469747351460,-1.44,1.4118e-05
1469747351470,-1.44,1.1584000000000001e-05
1469747351480,-1.44,1.2308e-05
1469747351490,-1.44,1.448e-05
1469747351500,-1.44,1.0136000000000001e-05
1469747351510,-1.44,1.0136000000000001e-05
1469747351520,-1.44,9.05e-06
1469747351530,-1.44,1.1222e-05
1469747351540,-1.44,1.0498e-05
1469747351550,-1.44,9.412e-06
1469747351560,-1.44,1.1584000000000001e-05
1469747351570,-1.44,9.05e-06
1469747351580,-1.44,1.1584000000000001e-05
1469747351590,-1.44,7.964e-06
1469747351600,-1.44,9.05e-06
1469747351610,-1.44,9.05e-06
1469747351620,-1.44,1.0136000000000001e-05
1469747351630,-1.44,9.774e-06
1469747351640,-1.44,1.2308e-05
1469747351650,-1.44,1.086e-05
1469747351660,-1.44,1.448e-05
1469747351670,-1.44,1.267e-05
1469747351680,-1.44,1.1945999999999999e-05
1469747351690,-1.44,1.1584000000000001e-05
1469747351700,-1.44,1.1945999999999999e-05
1469747351710,-1.44,1.0136000000000001e-05
1469747351720,-1.44,1.0498e-05
1469747351730,-1.44,5.792000000000001e-06
1469747351740,-1.44,9.774e-06
1469747351750,-1.44,6.877999999999999e-06
1469747351760,-1.44,9.05e-06
1469747351770,-1.44,5.43e-06
1469747351780,-1.44,1.0498e-05
1469747351790,-1.44,4.706e-06
1469747351800,-1.44,1.2308e-05
1469747351810,-1.44,5.0680000000000004e-06
1469747351820,-1.44,8.326e-06
1469747351830,-1.44,7.964e-06
1469747351840,-1.44,1.086e-05
1469747351850,-1.44,1.0136000000000001e-05
1469747351860,-1.44,1.1222e-05
1469747351870,-1.44,1.1945999999999999e-05
1469747351880,-1.44,1.0498e-05
1469747351890,-1.44,1.2308e-05
1469747351900,-1.44,1.0498e-05
1469747351910,-1.44,1.3032e-05
1469747351920,-1.44,1.086e-05
1469747351930,-1.44,9.774e-06
1469747351940,-1.44,1.3032e-05
1469747351950,-1.44,9.774e-06
1469747351960,-1.44,1.1945999999999999e-05
1469747351970,-1.44,8.687999999999999e-06
1469747351980,-1.44,1.2308e-05
1469747351990,-1.44,9.05e-06
1469747352000,-1.44,1.0498e-05
1469747352010,-1.44,6.516e-06
1469747352020,-1.44,9.774e-06
1469747352030,-1.44,7.964e-06
1469747352040,-1.44,1.0498e-05
1469747352050,-1.44,5.43e-06
1469747352060,-1.44,1.1584000000000001e-05
1469747352070,-1.44,9.412e-06
1469747352080,-1.44,1.086e-05
1469747352090,-1.44,1.086e-05
1469747352100,-1.44,1.4118e-05
1469747352110,-1.44,1.4842000000000001e-05
1469747352120,-1.44,1.3755999999999998e-05
1469747352130,-1.44,1.3032e-05
1469747352140,-1.44,1.5928e-05
1469747352150,-1.44,1.267e-05
