Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1469746012480,-0.875,1.0136000000000001e-05
1469746012490,-0.875,1.267e-05
1469746012500,-0.875,1.7014e-05
1469746012510,-0.875,2.0272000000000002e-05
1469746012520,-0.875,1.4118e-05
1469746012530,-0.875,1.0498e-05
1469746012540,-0.875,5.43e-06
1469746012550,-0.875,5.792000000000001e-06
1469746012560,-0.875,4.343999999999999e-06
1469746012570,-0.875,6.877999999999999e-06
1469746012580,-0.875,8.687999999999999e-06
1469746012590,-0.875,4.1268e-05
1469746012600,-0.875,3.6924e-05
1469746012610,-0.875,5.6472e-05
1469746012620,-0.875,1.9186e-05
1469746012630,-0.875,1.1222e-05
1469746012640,-0.875,5.792000000000001e-06
1469746012650,-0.875,6.154e-06
1469746012660,-0.875,5.0680000000000004e-06
1469746012670,-0.875,7.602e-06
1469746012680,-0.875,1.1584000000000001e-05
1469746012690,-0.875,1.0498e-05
1469746012700,-0.875,1.1945999999999999e-05
1469746012710,-0.875,7.24e-06
1469746012720,-0.875,6.516e-06
1469746012730,-0.875,4.706e-06
1469746012740,-0.875,1.0498e-05
1469746012750,-0.875,2.8236e-05
1469746012760,-0.875,8.688e-05
1469746012770,-0.875,9.9912e-05
1469746012780,-0.875,5.429999999999999e-05
1469746012790,-0.875,2.534e-05
1469746012800,-0.875,5.792000000000001e-06
1469746012810,-0.875,6.877999999999999e-06
1469746012820,-0.875,5.0680000000000004e-06
1469746012830,-0.875,7.964e-06
1469746012840,-0.875,1.5928e-05
1469746012850,-0.875,9.375799999999999e-05
1469746012860,-0.875,9.4844e-05
1469746012870,-0.875,0.000132492
1469746012880,-0.875,5.792e-05
1469746012890,-0.875,2.5702e-05
1469746012900,-0.875,1.086e-05
1469746012910,-0.875,7.602e-06
1469746012920,-0.875,6.516e-06
1469746012930,-0.875,5.792000000000001e-06
1469746012940,-0.875,1.7375999999999998e-05
1469746012950,-0.875,2.4978e-05
1469746012960,-0.875,5.429999999999999e-05
1469746012970,-0.875,3.4028e-05
1469746012980,-0.875,2.0996e-05
1469746012990,-0.875,1.3032e-05
1469746013000,-0.875,5.0680000000000004e-06
1469746013010,-0.875,6.516e-06
1469746013020,-0.875,5.0680000000000004e-06
1469746013030,-0.875,9.774e-06
1469746013040,-0.875,2.4254000000000002e-05
1469746013050,-0.875,7.348600000000001e-05
1469746013060,-0.875,5.9006000000000004e-05
1469746013070,-0.875,4.959399999999999e-05
1469746013080,-0.875,1.267e-05
1469746013090,-0.875,1.086e-05
1469746013100,-0.875,5.0680000000000004e-06
1469746013110,-0.875,6.516e-06
1469746013120,-0.875,6.516e-06
1469746013130,-0.875,1.1945999999999999e-05
1469746013140,-0.875,1.086e-05
1469746013150,-0.875,1.3032e-05
1469746013160,-0.875,1.1945999999999999e-05
1469746013170,-0.875,1.086e-05
1469746013180,-0.875,5.792000000000001e-06
1469746013190,-0.875,7.24e-06
1469746013200,-0.875,1.086e-05
1469746013210,-0.875,1.0498e-05
1469746013220,-0.875,1.5204e-05
1469746013230,-0.875,1.3032e-05
1469746013240,-0.875,7.964e-06
1469746013250,-0.875,6.154e-06
1469746013260,-0.875,3.982e-06
1469746013270,-0.875,6.516e-06
1469746013280,-0.875,3.982e-06
1469746013290,-0.875,1.0498e-05
1469746013300,-0.875,2.0996e-05
1469746013310,-0.875,5.7558e-05
1469746013320,-0.875,4.1268e-05
1469746013330,-0.875,6.6608e-05
1469746013340,-0.875,1.6652e-05
1469746013350,-0.875,1.7375999999999998e-05
1469746013360,-0.875,7.602e-06
1469746013370,-0.875,1.1584000000000001e-05
1469746013380,-0.875,8.687999999999999e-06
1469746013390,-0.875,2.2082e-05
1469746013400,-0.875,2.172e-05
1469746013410,-0.875,1.448e-05
1469746013420,-0.875,9.774e-06
1469746013430,-0.875,6.154e-06
1469746013440,-0.875,5.0680000000000004e-06
1469746013450,-0.875,7.24e-06
1469746013460,-0.875,1.448e-05
