Geom. emittance [m]	5.053054316048623E-10
Setup N Sigma	4.5
RMS Momentum Deviation	3.06E-4
Number	Status	Collimator Name	Angle (deg)	JAW L Calib (mm)	JAW R Calib (mm)	LVDT gap	Gap Offset (mm)	Half Gap Meas (mm)	Eff sigma in coll plane	JAW L Setting (mm)	JAW R Setting (mm)	Target HALF GAP sigma	Pos (m)	Angle (rad)	Betax (m)	Betay (m)	halfgap (m)	sig_coll (m)	sigx (m)	sigy (m)	nsig	tilt1 (rad)	tilt2 (rad)	Ratio beam size (meas/exp)	Dx (m)	sigx (m) (with Dx)	sig_coll (m) (with Dx)	Coll setup time (sec)	Comments
Horizontal
46	True	TCL.6L5.B2	0.0	-2.31	-3.33	0.9545907230420054	-2.8200000000000003	0.51	0.07799402562795164	-0.8701493593012093	-4.769850640698792	25.0	13513.65	0.0	12.03839827	496.5914415	0.0015598805125590328	7.799402562795164E-5	7.799402562795164E-5	5.009294887291406E-4	20.0	0.0	0.0	100%	-0.10311	8.413426936991357E-5	8.413426936991357E-5	1.461061501065E9	
47	True	TCP.C6R7.B2	0.0	1.51	-1.185	2.6949497474640323	0.16249999999999998	1.3475000000000001	n/a	n/a	n/a	4.885872160988484	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461061515599E9	
48	True	TCP.C6R7.B2	0.0	1.32	-0.93	2.2512545999403653	0.195	1.125	n/a	n/a	n/a	4.079114049062741	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461057961446E9	
49	True	TCL.5L5.B2	0.0	-1.56	-4.45	2.8126236405545693	-3.005	1.445	0.32583881254830205	1.8825821882245313	-7.892582188224531	15.0	13513.65	0.0	210.1123897	1357.46531	0.006516776250966041	3.2583881254830203E-4	3.2583881254830203E-4	8.282116845095693E-4	20.0	0.0	0.0	100%	0.112119	3.2764004491832636E-4	3.2764004491832636E-4	1.461058060588E9	
50	True	TCP.C6R7.B2	0.0	1.305	-0.895	2.2014605658544477	0.20499999999999996	1.1	n/a	n/a	n/a	3.9884670701946807	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461058086017E9	
51	True	TCP.C6R7.B2	0.0	1.305	-0.895	2.2019142159799285	0.20499999999999996	1.1	n/a	n/a	n/a	3.9884670701946807	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461058092671E9	
52	True	TCL.4L5.B2	0.0	-0.56	-5.28	4.749331181200514	-2.92	2.3600000000000003	0.6191740834464492	6.367611251696738	-12.207611251696738	15.0	13513.65	0.0	758.7026017	2140.634742	0.012383481668928983	6.191740834464492E-4	6.191740834464492E-4	0.0010400357504502782	20.0	0.0	0.0	100%	-0.086731	6.197426083018086E-4	6.197426083018086E-4	1.461058173707E9	
53	True	TCP.C6R7.B2	0.0	1.28	-0.875	2.1561703916991686	0.2025	1.0775000000000001	n/a	n/a	n/a	3.906884789213426	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461058191258E9	
54	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
55	False	TCTPH.4R5.B2	0.0	0.0	0.0	0.0	0.0	0.0	1.0426368130659245	14.284124339003165	-14.284124339003165	13.7	13181.77	0.0	2151.355311	813.898276	0.01563955219598887	0.0010426368130659245	0.0010426368130659245	6.413011926050297E-4	15.0	0.0	0.0	100%	0.066929	0.0010428379383122684	0.0010428379383122684	0.0	
56	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
57	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
58	False	TCSP.A4L6.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.5142580373256194	0.0	0.0	0.0	10151.26	0.0	523.3692583	173.623341	0.0035998062612793355	5.142580373256193E-4	5.142580373256193E-4	2.9619726072447597E-4	7.0	0.0	0.0	100%	-0.378185	5.271181217845296E-4	5.271181217845296E-4	0.0	
59	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
60	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
61	False	TCDQA.A4L6.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.49680848794099325	0.0	0.0	0.0	10147.35	0.0	488.4544243	161.8607311	0.003974467903527946	4.968084879409932E-4	4.968084879409932E-4	2.8598794832713505E-4	8.0	0.0	0.0	100%	-0.374746	5.098709685530606E-4	5.098709685530606E-4	0.0	
62	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
63	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
