Timestamp,position,BLMTI.04R3.B1I10_TCSG.4R3.B1
1494678440360,0.06,7.240000000000001e-07
1494678440370,0.06,7.240000000000001e-07
1494678440380,0.06,7.240000000000001e-07
1494678440390,0.06,3.6200000000000004e-07
1494678440400,0.06,1.0859999999999999e-06
1494678440410,0.06,7.240000000000001e-07
1494678440420,0.06,3.6200000000000004e-07
1494678440430,0.06,1.4480000000000002e-06
1494678440440,0.06,7.240000000000001e-07
1494678440450,0.06,2.5340000000000002e-06
1494678440460,0.06,0.0
1494678440470,0.06,1.81e-06
1494678440480,0.06,3.6200000000000004e-07
1494678440490,0.06,2.1719999999999997e-06
1494678440500,0.06,7.240000000000001e-07
1494678440510,0.06,3.6200000000000004e-07
1494678440520,0.06,1.0859999999999999e-06
1494678440530,0.06,1.4480000000000002e-06
1494678440540,0.06,7.240000000000001e-07
1494678440550,0.06,7.240000000000001e-07
1494678440560,0.06,1.4480000000000002e-06
1494678440570,0.06,7.240000000000001e-07
1494678440580,0.06,1.0859999999999999e-06
1494678440590,0.06,7.240000000000001e-07
1494678440600,0.06,3.6200000000000004e-07
1494678440610,0.06,7.240000000000001e-07
1494678440620,0.06,1.4480000000000002e-06
1494678440630,0.06,1.81e-06
1494678440640,0.06,3.6200000000000004e-07
1494678440650,0.06,7.240000000000001e-07
1494678440660,0.06,3.6200000000000004e-07
1494678440670,0.06,1.81e-06
1494678440680,0.06,7.240000000000001e-07
1494678440690,0.06,1.4480000000000002e-06
1494678440700,0.06,7.240000000000001e-07
1494678440710,0.06,1.0859999999999999e-06
1494678440720,0.06,3.6200000000000004e-07
1494678440730,0.06,3.6200000000000004e-07
1494678440740,0.06,7.240000000000001e-07
1494678440750,0.06,0.0
1494678440760,0.06,1.81e-06
1494678440770,0.06,1.0859999999999999e-06
1494678440780,0.06,7.240000000000001e-07
1494678440790,0.06,1.4480000000000002e-06
1494678440800,0.06,3.6200000000000004e-07
1494678440810,0.06,1.0859999999999999e-06
1494678440820,0.06,1.0859999999999999e-06
1494678440830,0.06,7.240000000000001e-07
1494678440840,0.06,1.0859999999999999e-06
1494678440850,0.06,7.240000000000001e-07
1494678440860,0.06,7.240000000000001e-07
1494678440870,0.06,7.240000000000001e-07
1494678440880,0.06,7.240000000000001e-07
1494678440890,0.06,1.81e-06
1494678440900,0.06,7.240000000000001e-07
1494678440910,0.06,7.240000000000001e-07
1494678440920,0.06,7.240000000000001e-07
1494678440930,0.06,1.4480000000000002e-06
1494678440940,0.06,1.0859999999999999e-06
1494678440950,0.06,1.0859999999999999e-06
1494678440960,0.06,3.6200000000000004e-07
1494678440970,0.06,3.6200000000000004e-07
1494678440980,0.06,1.4480000000000002e-06
1494678440990,0.06,1.4480000000000002e-06
1494678441000,0.06,1.0859999999999999e-06
1494678441010,0.06,3.6200000000000004e-07
1494678441020,0.06,1.4480000000000002e-06
1494678441030,0.06,7.240000000000001e-07
1494678441040,0.06,1.0859999999999999e-06
1494678441050,0.06,7.240000000000001e-07
1494678441060,0.06,7.240000000000001e-07
1494678441070,0.06,1.0859999999999999e-06
1494678441080,0.06,7.240000000000001e-07
1494678441090,0.06,7.240000000000001e-07
1494678441100,0.06,1.0859999999999999e-06
1494678441110,0.06,3.6200000000000004e-07
1494678441120,0.06,7.240000000000001e-07
1494678441130,0.06,7.240000000000001e-07
1494678441140,0.06,7.240000000000001e-07
1494678441150,0.06,3.6200000000000004e-07
1494678441160,0.06,3.6200000000000004e-07
1494678441170,0.06,1.4480000000000002e-06
1494678441180,0.06,7.240000000000001e-07
1494678441190,0.06,7.240000000000001e-07
1494678441200,0.06,1.4480000000000002e-06
1494678441210,0.06,1.0859999999999999e-06
1494678441220,0.06,7.240000000000001e-07
1494678441230,0.06,1.0859999999999999e-06
1494678441240,0.06,7.240000000000001e-07
1494678441250,0.06,1.4480000000000002e-06
1494678441260,0.06,0.0
1494678441270,0.06,1.0859999999999999e-06
1494678441280,0.06,3.6200000000000004e-07
1494678441290,0.06,1.0859999999999999e-06
1494678441300,0.06,3.6200000000000004e-07
1494678441310,0.06,1.81e-06
1494678441320,0.06,3.6200000000000004e-07
1494678441330,0.06,1.0859999999999999e-06
1494678441340,0.06,1.0859999999999999e-06
1494678441350,0.06,1.0859999999999999e-06
1494678441360,0.06,7.240000000000001e-07
1494678441370,0.06,1.0859999999999999e-06
1494678441380,0.06,1.0859999999999999e-06
1494678441390,0.06,1.0859999999999999e-06
1494678441400,0.06,3.6200000000000004e-07
1494678441410,0.06,7.240000000000001e-07
1494678441420,0.06,1.0859999999999999e-06
1494678441430,0.06,1.0859999999999999e-06
1494678441440,0.06,7.240000000000001e-07
1494678441450,0.06,1.4480000000000002e-06
1494678441460,0.06,0.0
1494678441470,0.06,1.0859999999999999e-06
1494678441480,0.06,7.240000000000001e-07
1494678441490,0.06,1.4480000000000002e-06
1494678441500,0.06,0.0
1494678441510,0.06,7.240000000000001e-07
1494678441520,0.06,1.4480000000000002e-06
1494678441530,0.06,1.4480000000000002e-06
1494678441540,0.06,7.240000000000001e-07
1494678441550,0.06,7.240000000000001e-07
1494678441560,0.06,3.6200000000000004e-07
1494678441570,0.06,1.0859999999999999e-06
1494678441580,0.06,7.240000000000001e-07
1494678441590,0.06,3.6200000000000004e-07
1494678441600,0.06,7.240000000000001e-07
1494678441610,0.06,1.4480000000000002e-06
1494678441620,0.06,3.6200000000000004e-07
1494678441630,0.06,1.0859999999999999e-06
1494678441640,0.06,1.0859999999999999e-06
1494678441650,0.06,1.4480000000000002e-06
1494678441660,0.06,0.0
1494678441670,0.06,0.0
1494678441680,0.06,3.6200000000000004e-07
1494678441690,0.06,3.6200000000000004e-07
1494678441700,0.06,3.6200000000000004e-07
1494678441710,0.06,1.4480000000000002e-06
1494678441720,0.06,7.240000000000001e-07
