Timestamp,position,BLMTI.06R7.B1E10_TCSG.6R7.B1
1494677049900,-1.59,1.9548e-05
1494677049910,-1.59,1.7738e-05
1494677049920,-1.59,1.6652e-05
1494677049930,-1.59,1.7738e-05
1494677049940,-1.59,1.4842000000000001e-05
1494677049950,-1.59,2.2805999999999998e-05
1494677049960,-1.59,2.2444e-05
1494677049970,-1.59,2.6426e-05
1494677049980,-1.59,2.534e-05
1494677049990,-1.59,2.2444e-05
1494677050000,-1.59,1.8100000000000003e-05
1494677050010,-1.59,1.9548e-05
1494677050020,-1.59,1.5566e-05
1494677050030,-1.59,2.1358e-05
1494677050040,-1.59,1.629e-05
1494677050050,-1.59,2.353e-05
1494677050060,-1.59,1.991e-05
1494677050070,-1.59,2.0634e-05
1494677050080,-1.59,1.5204e-05
1494677050090,-1.59,1.8824e-05
1494677050100,-1.59,1.5204e-05
1494677050110,-1.59,1.7738e-05
1494677050120,-1.59,1.267e-05
1494677050130,-1.59,1.4118e-05
1494677050140,-1.59,1.448e-05
1494677050150,-1.59,2.1358e-05
1494677050160,-1.59,1.5928e-05
1494677050170,-1.59,1.629e-05
1494677050180,-1.59,1.1945999999999999e-05
1494677050190,-1.59,1.8824e-05
1494677050200,-1.59,1.629e-05
1494677050210,-1.59,2.0272000000000002e-05
1494677050220,-1.59,1.9548e-05
1494677050230,-1.59,2.4978e-05
1494677050240,-1.59,1.7738e-05
1494677050250,-1.59,1.7014e-05
1494677050260,-1.59,9.412e-06
1494677050270,-1.59,1.7738e-05
1494677050280,-1.59,1.6652e-05
1494677050290,-1.59,2.2082e-05
1494677050300,-1.59,1.8824e-05
1494677050310,-1.59,2.172e-05
1494677050320,-1.59,1.629e-05
1494677050330,-1.59,1.7738e-05
1494677050340,-1.59,1.1222e-05
1494677050350,-1.59,1.7014e-05
1494677050360,-1.59,1.9186e-05
1494677050370,-1.59,2.6788000000000002e-05
1494677050380,-1.59,2.4616e-05
1494677050390,-1.59,3.0046e-05
1494677050400,-1.59,2.9321999999999998e-05
1494677050410,-1.59,2.6064e-05
1494677050420,-1.59,1.991e-05
1494677050430,-1.59,1.9548e-05
1494677050440,-1.59,1.4118e-05
1494677050450,-1.59,1.9186e-05
1494677050460,-1.59,2.2805999999999998e-05
1494677050470,-1.59,2.6788000000000002e-05
1494677050480,-1.59,2.0634e-05
1494677050490,-1.59,3.0046e-05
1494677050500,-1.59,2.1358e-05
1494677050510,-1.59,1.9186e-05
1494677050520,-1.59,1.448e-05
1494677050530,-1.59,1.6652e-05
1494677050540,-1.59,1.2308e-05
1494677050550,-1.59,2.0996e-05
