Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1459977497829,0.605,6.877999999999999e-06
1459977497839,0.605,1.086e-05
1459977497849,0.605,6.154e-06
1459977497859,0.605,9.412e-06
1459977497869,0.605,6.516e-06
1459977497879,0.605,8.326e-06
1459977497889,0.605,4.706e-06
1459977497899,0.605,9.412e-06
1459977497909,0.605,7.964e-06
1459977497919,0.605,8.687999999999999e-06
1459977497929,0.605,5.43e-06
1459977497939,0.605,8.326e-06
1459977497949,0.605,6.516e-06
1459977497959,0.605,7.964e-06
1459977497969,0.605,5.0680000000000004e-06
1459977497979,0.605,7.964e-06
1459977497989,0.605,6.516e-06
1459977497999,0.605,1.1584000000000001e-05
1459977498009,0.605,9.774e-06
1459977498019,0.605,1.0136000000000001e-05
1459977498029,0.605,5.43e-06
1459977498039,0.605,7.964e-06
1459977498049,0.605,5.792000000000001e-06
1459977498059,0.605,8.687999999999999e-06
1459977498069,0.605,6.877999999999999e-06
1459977498079,0.605,8.326e-06
1459977498089,0.605,7.602e-06
1459977498099,0.605,9.05e-06
1459977498109,0.605,7.602e-06
1459977498119,0.605,7.964e-06
1459977498129,0.605,6.154e-06
1459977498139,0.605,6.877999999999999e-06
1459977498149,0.605,4.706e-06
1459977498159,0.605,1.0498e-05
1459977498169,0.605,6.516e-06
1459977498179,0.605,9.774e-06
1459977498189,0.605,9.05e-06
1459977498199,0.605,1.0136000000000001e-05
1459977498209,0.605,7.24e-06
1459977498219,0.605,7.964e-06
1459977498229,0.605,5.43e-06
1459977498239,0.605,6.516e-06
1459977498249,0.605,5.792000000000001e-06
1459977498259,0.605,1.1222e-05
1459977498269,0.605,8.326e-06
1459977498279,0.605,7.602e-06
1459977498289,0.605,6.877999999999999e-06
1459977498299,0.605,7.602e-06
1459977498309,0.605,8.326e-06
1459977498319,0.605,7.602e-06
1459977498329,0.605,6.154e-06
1459977498339,0.605,8.687999999999999e-06
1459977498349,0.605,7.964e-06
1459977498359,0.605,1.0498e-05
1459977498369,0.605,6.516e-06
1459977498379,0.605,7.602e-06
1459977498389,0.605,6.516e-06
1459977498399,0.605,6.154e-06
1459977498409,0.605,5.0680000000000004e-06
1459977498419,0.605,7.24e-06
1459977498429,0.605,5.0680000000000004e-06
1459977498439,0.605,9.05e-06
1459977498449,0.605,7.602e-06
1459977498459,0.605,1.086e-05
1459977498469,0.605,8.326e-06
1459977498479,0.605,6.877999999999999e-06
1459977498489,0.605,6.877999999999999e-06
1459977498499,0.605,6.516e-06
1459977498509,0.605,5.792000000000001e-06
1459977498519,0.605,8.326e-06
1459977498529,0.605,6.516e-06
1459977498539,0.605,8.687999999999999e-06
1459977498549,0.605,6.154e-06
1459977498559,0.605,6.516e-06
1459977498569,0.605,5.0680000000000004e-06
1459977498579,0.605,6.877999999999999e-06
1459977498589,0.605,7.24e-06
1459977498599,0.605,7.602e-06
1459977498609,0.605,7.964e-06
1459977498619,0.605,7.602e-06
1459977498629,0.605,7.24e-06
1459977498639,0.605,9.412e-06
1459977498649,0.605,6.877999999999999e-06
1459977498659,0.605,6.877999999999999e-06
1459977498669,0.605,5.792000000000001e-06
1459977498679,0.605,8.687999999999999e-06
1459977498689,0.605,6.154e-06
1459977498699,0.605,7.24e-06
1459977498709,0.605,6.154e-06
1459977498719,0.605,6.877999999999999e-06
1459977498729,0.605,7.24e-06
1459977498739,0.605,8.687999999999999e-06
1459977498749,0.605,5.0680000000000004e-06
1459977498759,0.605,6.516e-06
1459977498769,0.605,6.154e-06
1459977498779,0.605,7.24e-06
1459977498789,0.605,8.326e-06
1459977498799,0.605,7.24e-06
1459977498809,0.605,5.792000000000001e-06
1459977498819,0.605,8.326e-06
1459977498829,0.605,6.516e-06
1459977498839,0.605,7.24e-06
1459977498849,0.605,6.877999999999999e-06
1459977498859,0.605,7.964e-06
1459977498869,0.605,5.792000000000001e-06
1459977498879,0.605,7.602e-06
1459977498889,0.605,3.62e-06
1459977498899,0.605,7.964e-06
1459977498909,0.605,6.516e-06
1459977498919,0.605,7.24e-06
1459977498929,0.605,6.154e-06
1459977498939,0.605,9.05e-06
1459977498949,0.605,7.24e-06
1459977498959,0.605,6.516e-06
1459977498969,0.605,6.516e-06
1459977498979,0.605,1.0136000000000001e-05
1459977498989,0.605,6.877999999999999e-06
1459977498999,0.605,6.877999999999999e-06
1459977499009,0.605,6.877999999999999e-06
1459977499019,0.605,5.792000000000001e-06
1459977499029,0.605,6.516e-06
1459977499039,0.605,8.687999999999999e-06
1459977499049,0.605,5.0680000000000004e-06
1459977499059,0.605,6.154e-06
1459977499069,0.605,5.792000000000001e-06
1459977499079,0.605,7.602e-06
1459977499089,0.605,7.24e-06
1459977499099,0.605,8.326e-06
1459977499109,0.605,6.877999999999999e-06
1459977499119,0.605,9.05e-06
1459977499129,0.605,7.24e-06
1459977499139,0.605,8.326e-06
1459977499149,0.605,7.602e-06
1459977499159,0.605,6.877999999999999e-06
1459977499169,0.605,7.602e-06
1459977499179,0.605,7.24e-06
1459977499189,0.605,7.24e-06
1459977499199,0.605,6.516e-06
1459977499209,0.605,5.792000000000001e-06
1459977499219,0.605,6.154e-06
1459977499229,0.605,5.43e-06
1459977499239,0.605,7.602e-06
1459977499249,0.605,7.24e-06
1459977499259,0.605,6.877999999999999e-06
1459977499269,0.605,7.24e-06
1459977499279,0.605,8.326e-06
1459977499289,0.605,6.877999999999999e-06
1459977499299,0.605,7.602e-06
1459977499309,0.605,5.792000000000001e-06
1459977499319,0.605,7.602e-06
1459977499329,0.605,6.877999999999999e-06
1459977499339,0.605,6.154e-06
1459977499349,0.605,6.154e-06
1459977499359,0.605,6.154e-06
1459977499369,0.605,7.24e-06
1459977499379,0.605,7.24e-06
1459977499389,0.605,6.154e-06
1459977499399,0.605,6.154e-06
1459977499409,0.605,4.706e-06
1459977499419,0.605,6.154e-06
1459977499429,0.605,5.792000000000001e-06
1459977499439,0.605,6.877999999999999e-06
1459977499449,0.605,6.516e-06
1459977499459,0.605,6.154e-06
1459977499469,0.605,6.516e-06
1459977499479,0.605,5.43e-06
1459977499489,0.605,5.792000000000001e-06
1459977499499,0.605,7.24e-06
