,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
732,0,1.2435899053627757,8.420434350683937,2.534,1.3984956951263587,31.47252129651016,1.1355042801471382,0,TCP,PROTON,I
733,0,2.8312925,3.876038499593093,3.258,2.7308350601773763,0.08505070496157974,0.49040041210358915,0,TCP,PROTON,I
734,0,11.68536,6.893725969063754,11.946,11.690968279892273,100.599838543439,0.2550317201138002,0,TCTPH,PROTON,I
735,1,1.1389844611528825,12.417940922982076,1.4480000000000004,1.153081797610972,21.604446832301043,0.29491819667222346,0,TCTPV,PROTON,I
736,0,2.4575347593582895,7.499346641116136,2.896000000000001,2.4537177275994946,19.72375941682796,0.44228225829935464,0,TCSG,PROTON,I
737,1,1.142734074823054,13.357836509842379,1.4480000000000004,1.1557431131036089,22.75807047174965,0.2922568802993656,0,TCLA,PROTON,I
738,0,1.1688980000000004,18.156061195097564,1.4480000000000004,1.1615425687305745,23.999114672877894,0.28645742943196795,0,TCTPV,PROTON,I
739,0,2.366803770351328,6.460289899378676,3.258,2.8983863537222105,0.3177120123814119,0.6658291916399008,0,TCSG,PROTON,I
740,0,3.9896019999999983,13.806974818353105,4.3439999999999985,4.001338897779636,49.03386935008069,0.3426611022203711,0,TCTPV,PROTON,I
741,0,2.223404,7.175241138550012,2.534,2.2170524017467286,42.13422356191402,0.3169475982532727,0,TCSG,PROTON,I
742,0,0.8728266085059979,8.643219515446546,1.086,0.866624373575347,22.673104253572127,0.21937562501013597,0,TCTPH,PROTON,I
743,0,2.0298790613718407,4.879943403592447,2.534,1.9855808383233706,27.19797121372924,0.5484191616766286,0,TCLA,PROTON,I
744,1,1.1336030000000004,12.525607536136551,1.4480000000000004,1.1422036727779705,34.093785948665186,0.30579632722202726,0,TCTPV,PROTON,I
745,1,1.1216570000000003,11.835244885509988,1.4480000000000004,1.1325342248585761,37.53607547834332,0.3154657751414424,0,TCTPV,PROTON,I
746,0,2.0943509999999996,7.546169623287382,2.534,2.103709515074936,49.20427468615,0.4302904842095253,0,TCSG,PROTON,I
747,0,1.399593023255814,9.925323895482137,1.81,1.4141868135509152,24.64634351094171,0.3958131864491146,0,TCLA,PROTON,I
748,0,3.722446,8.083810478945619,3.982,3.4423007632306697,0.6842864757820469,0.2520792923869544,0,TCTPH,PROTON,I
749,1,0.805812,17.37330659597306,1.086,0.8073989980937315,26.20753668239364,0.2786010019050517,0,TCLIB,PROTON,I
750,0,0.7673456913827655,13.288314819264954,1.086,0.7585041233486638,3.063287195991637,0.32749051776815435,0,TCSG,PROTON,I
751,1,1.4593125,11.590582228126607,1.81,1.4577837828817868,23.953512936113178,0.3522162162181043,0,TCLA,PROTON,I
752,1,1.6344299999999996,13.655311419880636,2.534,1.7048447415561399,28.688617486896344,0.8291552584438737,0,TCLA,PROTON,I
753,0,11.681920999999999,7.045946080792829,11.946,11.690968279892273,100.599838543439,0.2550317201138002,0,TCTPH,PROTON,I
754,1,0.828075,11.898775596619114,1.086,0.8146510633441358,19.924990596555062,0.27134891556151153,0,TCTPV,PROTON,I
755,0,1.46397592778335,16.80076031355755,1.81,1.4328914646065352,19.623128203958974,0.3771085138241563,0,TCTPV,PROTON,I
756,0,1.0934210000000002,14.964792413183552,1.4480000000000004,1.0847909053628342,16.12586809654242,0.363209054264576,0,TCTPV,PROTON,I
757,1,2.1285307769929362,4.363756729616204,2.534,1.5334847568357286,0.8416262428559802,0.9517915050041643,0,TCSP,PROTON,I
758,0,1.2933661417322835,6.11448755820056,1.81,1.3192754593325873,43.389911780565555,0.4907245406674254,0,TCLA,PROTON,I
759,1,1.1113251028806588,6.963686446829318,1.4480000000000004,1.0491352239334788,23.648029264775797,0.39886477465022235,0,TCSG,PROTON,I
760,1,2.8797099999999998,11.50931242613577,3.62,3.0388776126707437,0.4168221684447433,0.8298078756513507,0,TCSG,PROTON,I
761,0,1.5148084252758274,16.97927945097087,1.81,1.521729549229574,26.060021011143274,0.288270450770305,0,TCTPV,PROTON,I
762,0,1.506825,14.826593257181182,1.81,1.5072253728092904,24.740640251754968,0.30277462569347874,0,TCTPV,PROTON,I
763,0,1.4527107107107107,19.515449650102273,1.81,1.4479999987110304,25.909368615460572,0.3620000003579978,0,TCSG,PROTON,I
764,1,2.875185,11.203324663749077,3.62,3.0388776126707437,0.4168221684447433,0.8298078756513507,0,TCSG,PROTON,I
765,0,0.7285249999999999,16.48649553781786,1.086,0.7385041112476044,18.286030902524573,0.3474958274008111,0,TCTPV,PROTON,I
