Timestamp,position,BLMTI.05L3.B2E10_TCLA.B5L3.B2
1459602023880,8.81,7.240000000000001e-07
1459602023890,8.81,0.0
1459602023900,8.81,3.6200000000000004e-07
1459602023910,8.81,7.240000000000001e-07
1459602023920,8.81,7.240000000000001e-07
1459602023930,8.81,7.240000000000001e-07
1459602023940,8.81,0.0
1459602023950,8.81,7.240000000000001e-07
1459602023960,8.81,3.6200000000000004e-07
1459602023970,8.81,0.0
1459602023980,8.81,0.0
1459602023990,8.81,0.0
1459602024000,8.81,3.6200000000000004e-07
1459602024010,8.81,3.6200000000000004e-07
1459602024020,8.81,3.6200000000000004e-07
1459602024030,8.81,3.6200000000000004e-07
1459602024040,8.81,3.6200000000000004e-07
1459602024050,8.81,3.6200000000000004e-07
1459602024060,8.81,0.0
1459602024070,8.81,3.6200000000000004e-07
1459602024080,8.81,3.6200000000000004e-07
1459602024090,8.81,0.0
1459602024100,8.81,0.0
1459602024110,8.81,1.0859999999999999e-06
1459602024120,8.81,3.6200000000000004e-07
1459602024130,8.81,3.6200000000000004e-07
1459602024140,8.81,0.0
1459602024150,8.81,3.6200000000000004e-07
1459602024160,8.81,3.6200000000000004e-07
1459602024170,8.81,0.0
1459602024180,8.81,3.6200000000000004e-07
1459602024190,8.81,3.6200000000000004e-07
1459602024200,8.81,3.6200000000000004e-07
1459602024210,8.81,0.0
1459602024220,8.81,0.0
1459602024230,8.81,7.240000000000001e-07
1459602024240,8.81,3.6200000000000004e-07
1459602024250,8.81,7.240000000000001e-07
1459602024260,8.81,0.0
1459602024270,8.81,3.6200000000000004e-07
1459602024280,8.81,3.6200000000000004e-07
1459602024290,8.81,3.6200000000000004e-07
1459602024300,8.81,0.0
1459602024310,8.81,0.0
1459602024320,8.81,0.0
1459602024330,8.81,3.6200000000000004e-07
1459602024340,8.81,0.0
1459602024350,8.81,3.6200000000000004e-07
1459602024360,8.81,3.6200000000000004e-07
1459602024370,8.81,7.240000000000001e-07
1459602024380,8.81,3.6200000000000004e-07
1459602024390,8.81,0.0
1459602024400,8.81,0.0
1459602024410,8.81,3.6200000000000004e-07
1459602024420,8.81,0.0
1459602024430,8.81,7.240000000000001e-07
1459602024440,8.81,0.0
1459602024450,8.81,3.6200000000000004e-07
1459602024460,8.81,3.6200000000000004e-07
1459602024470,8.81,3.6200000000000004e-07
