Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459607658420,9.31,3.6200000000000004e-07
1459607658430,9.31,0.0
1459607658440,9.31,0.0
1459607658450,9.31,1.0859999999999999e-06
1459607658460,9.31,0.0
1459607658470,9.31,0.0
1459607658480,9.31,0.0
1459607658490,9.31,1.0859999999999999e-06
1459607658500,9.31,0.0
1459607658510,9.31,0.0
1459607658520,9.31,0.0
1459607658530,9.31,1.0859999999999999e-06
1459607658540,9.31,0.0
1459607658550,9.31,1.4480000000000002e-06
1459607658560,9.31,0.0
1459607658570,9.31,0.0
1459607658580,9.31,2.5340000000000002e-06
1459607658590,9.31,0.0
1459607658600,9.31,0.0
1459607658610,9.31,0.0
1459607658620,9.31,3.6200000000000004e-07
1459607658630,9.31,7.240000000000001e-07
1459607658640,9.31,7.240000000000001e-07
1459607658650,9.31,0.0
1459607658660,9.31,0.0
1459607658670,9.31,7.240000000000001e-07
1459607658680,9.31,1.81e-06
1459607658690,9.31,0.0
1459607658700,9.31,0.0
1459607658710,9.31,0.0
1459607658720,9.31,0.0
1459607658730,9.31,0.0
1459607658740,9.31,0.0
1459607658750,9.31,0.0
1459607658760,9.31,1.4480000000000002e-06
1459607658770,9.31,0.0
1459607658780,9.31,0.0
1459607658790,9.31,0.0
1459607658800,9.31,0.0
1459607658810,9.31,0.0
1459607658820,9.31,0.0
1459607658830,9.31,0.0
1459607658840,9.31,0.0
1459607658850,9.31,0.0
1459607658860,9.31,0.0
1459607658870,9.31,0.0
1459607658880,9.31,1.0859999999999999e-06
1459607658890,9.31,0.0
1459607658900,9.31,3.6200000000000004e-07
1459607658910,9.31,0.0
1459607658920,9.31,7.240000000000001e-07
1459607658930,9.31,0.0
1459607658940,9.31,0.0
1459607658950,9.31,0.0
1459607658960,9.31,7.240000000000001e-07
1459607658970,9.31,0.0
1459607658980,9.31,0.0
1459607658990,9.31,2.1719999999999997e-06
1459607659000,9.31,0.0
1459607659010,9.31,0.0
1459607659020,9.31,0.0
1459607659030,9.31,1.4480000000000002e-06
1459607659040,9.31,0.0
1459607659050,9.31,0.0
1459607659060,9.31,0.0
1459607659070,9.31,0.0
1459607659080,9.31,0.0
1459607659090,9.31,0.0
1459607659100,9.31,1.0859999999999999e-06
1459607659110,9.31,7.240000000000001e-07
1459607659120,9.31,0.0
1459607659130,9.31,1.0859999999999999e-06
1459607659140,9.31,0.0
1459607659150,9.31,0.0
1459607659160,9.31,1.0859999999999999e-06
1459607659170,9.31,0.0
1459607659180,9.31,0.0
1459607659190,9.31,7.240000000000001e-07
1459607659200,9.31,0.0
1459607659210,9.31,7.240000000000001e-07
1459607659220,9.31,0.0
1459607659230,9.31,1.4480000000000002e-06
1459607659240,9.31,0.0
1459607659250,9.31,0.0
1459607659260,9.31,0.0
1459607659270,9.31,0.0
1459607659280,9.31,0.0
