Timestamp,position,BLMTI.04L2.B1E10_TCTPV.4L2.B1
1459604816350,-9.655,7.240000000000001e-07
1459604816360,-9.655,0.0
1459604816370,-9.655,7.240000000000001e-07
1459604816380,-9.655,0.0
1459604816390,-9.655,3.6200000000000004e-07
1459604816400,-9.655,0.0
1459604816410,-9.655,3.6200000000000004e-07
1459604816420,-9.655,7.240000000000001e-07
1459604816430,-9.655,0.0
1459604816440,-9.655,3.6200000000000004e-07
1459604816450,-9.655,7.240000000000001e-07
1459604816460,-9.655,0.0
1459604816470,-9.655,3.6200000000000004e-07
1459604816480,-9.655,1.0859999999999999e-06
1459604816490,-9.655,0.0
1459604816500,-9.655,3.6200000000000004e-07
1459604816510,-9.655,0.0
1459604816520,-9.655,1.0859999999999999e-06
1459604816530,-9.655,0.0
1459604816540,-9.655,3.6200000000000004e-07
1459604816550,-9.655,7.240000000000001e-07
1459604816560,-9.655,0.0
1459604816570,-9.655,7.240000000000001e-07
1459604816580,-9.655,0.0
1459604816590,-9.655,1.4480000000000002e-06
1459604816600,-9.655,0.0
1459604816610,-9.655,3.6200000000000004e-07
1459604816620,-9.655,0.0
1459604816630,-9.655,1.4480000000000002e-06
1459604816640,-9.655,0.0
1459604816650,-9.655,0.0
1459604816660,-9.655,0.0
1459604816670,-9.655,0.0
1459604816680,-9.655,0.0
1459604816690,-9.655,7.240000000000001e-07
1459604816700,-9.655,0.0
1459604816710,-9.655,0.0
1459604816720,-9.655,1.0859999999999999e-06
1459604816730,-9.655,0.0
1459604816740,-9.655,0.0
1459604816750,-9.655,0.0
1459604816760,-9.655,7.240000000000001e-07
1459604816770,-9.655,0.0
1459604816780,-9.655,3.6200000000000004e-07
1459604816790,-9.655,7.240000000000001e-07
1459604816800,-9.655,0.0
1459604816810,-9.655,7.240000000000001e-07
1459604816820,-9.655,0.0
1459604816830,-9.655,7.240000000000001e-07
1459604816840,-9.655,0.0
1459604816850,-9.655,3.6200000000000004e-07
1459604816860,-9.655,0.0
1459604816870,-9.655,1.0859999999999999e-06
1459604816880,-9.655,0.0
1459604816890,-9.655,0.0
1459604816900,-9.655,7.240000000000001e-07
1459604816910,-9.655,3.6200000000000004e-07
1459604816920,-9.655,1.4480000000000002e-06
1459604816930,-9.655,0.0
1459604816940,-9.655,3.6200000000000004e-07
1459604816950,-9.655,0.0
1459604816960,-9.655,0.0
1459604816970,-9.655,0.0
1459604816980,-9.655,3.6200000000000004e-07
1459604816990,-9.655,3.6200000000000004e-07
1459604817000,-9.655,7.240000000000001e-07
1459604817010,-9.655,0.0
1459604817020,-9.655,0.0
1459604817030,-9.655,3.6200000000000004e-07
1459604817040,-9.655,3.6200000000000004e-07
1459604817050,-9.655,3.6200000000000004e-07
1459604817060,-9.655,0.0
1459604817070,-9.655,1.0859999999999999e-06
1459604817080,-9.655,0.0
1459604817090,-9.655,3.6200000000000004e-07
1459604817100,-9.655,0.0
1459604817110,-9.655,7.240000000000001e-07
1459604817120,-9.655,0.0
1459604817130,-9.655,0.0
1459604817140,-9.655,7.240000000000001e-07
1459604817150,-9.655,0.0
1459604817160,-9.655,7.240000000000001e-07
1459604817170,-9.655,0.0
1459604817180,-9.655,1.0859999999999999e-06
1459604817190,-9.655,0.0
1459604817200,-9.655,0.0
1459604817210,-9.655,3.6200000000000004e-07
1459604817220,-9.655,0.0
1459604817230,-9.655,3.6200000000000004e-07
1459604817240,-9.655,3.6200000000000004e-07
1459604817250,-9.655,7.240000000000001e-07
1459604817260,-9.655,0.0
1459604817270,-9.655,3.6200000000000004e-07
1459604817280,-9.655,0.0
1459604817290,-9.655,3.6200000000000004e-07
1459604817300,-9.655,0.0
1459604817310,-9.655,3.6200000000000004e-07
1459604817320,-9.655,3.6200000000000004e-07
1459604817330,-9.655,0.0
1459604817340,-9.655,3.6200000000000004e-07
1459604817350,-9.655,0.0
1459604817360,-9.655,3.6200000000000004e-07
1459604817370,-9.655,7.240000000000001e-07
1459604817380,-9.655,0.0
1459604817390,-9.655,3.6200000000000004e-07
1459604817400,-9.655,0.0
1459604817410,-9.655,0.0
1459604817420,-9.655,7.240000000000001e-07
1459604817430,-9.655,7.240000000000001e-07
1459604817440,-9.655,0.0
1459604817450,-9.655,0.0
1459604817460,-9.655,3.6200000000000004e-07
1459604817470,-9.655,0.0
1459604817480,-9.655,3.6200000000000004e-07
1459604817490,-9.655,3.6200000000000004e-07
1459604817500,-9.655,0.0
1459604817510,-9.655,3.6200000000000004e-07
1459604817520,-9.655,0.0
1459604817530,-9.655,1.0859999999999999e-06
1459604817540,-9.655,0.0
1459604817550,-9.655,3.6200000000000004e-07
1459604817560,-9.655,3.6200000000000004e-07
1459604817570,-9.655,0.0
1459604817580,-9.655,7.240000000000001e-07
1459604817590,-9.655,0.0
1459604817600,-9.655,7.240000000000001e-07
1459604817610,-9.655,0.0
1459604817620,-9.655,3.6200000000000004e-07
1459604817630,-9.655,3.6200000000000004e-07
1459604817640,-9.655,3.6200000000000004e-07
1459604817650,-9.655,3.6200000000000004e-07
1459604817660,-9.655,1.0859999999999999e-06
1459604817670,-9.655,0.0
1459604817680,-9.655,0.0
1459604817690,-9.655,0.0
1459604817700,-9.655,3.6200000000000004e-07
1459604817710,-9.655,1.0859999999999999e-06
1459604817720,-9.655,0.0
1459604817730,-9.655,3.6200000000000004e-07
1459604817740,-9.655,0.0
1459604817750,-9.655,3.6200000000000004e-07
1459604817760,-9.655,3.6200000000000004e-07
1459604817770,-9.655,0.0
1459604817780,-9.655,3.6200000000000004e-07
1459604817790,-9.655,0.0
1459604817800,-9.655,7.240000000000001e-07
1459604817810,-9.655,0.0
1459604817820,-9.655,1.0859999999999999e-06
1459604817830,-9.655,0.0
1459604817840,-9.655,7.240000000000001e-07
1459604817850,-9.655,0.0
1459604817860,-9.655,0.0
1459604817870,-9.655,3.6200000000000004e-07
1459604817880,-9.655,3.6200000000000004e-07
1459604817890,-9.655,0.0
1459604817900,-9.655,0.0
1459604817910,-9.655,1.0859999999999999e-06
1459604817920,-9.655,0.0
1459604817930,-9.655,3.6200000000000004e-07
1459604817940,-9.655,0.0
1459604817950,-9.655,3.6200000000000004e-07
1459604817960,-9.655,3.6200000000000004e-07
1459604817970,-9.655,7.240000000000001e-07
1459604817980,-9.655,0.0
1459604817990,-9.655,0.0
1459604818000,-9.655,7.240000000000001e-07
1459604818010,-9.655,0.0
1459604818020,-9.655,0.0
1459604818030,-9.655,0.0
1459604818040,-9.655,1.0859999999999999e-06
1459604818050,-9.655,0.0
1459604818060,-9.655,3.6200000000000004e-07
1459604818070,-9.655,0.0
1459604818080,-9.655,0.0
1459604818090,-9.655,1.0859999999999999e-06
1459604818100,-9.655,0.0
1459604818110,-9.655,3.6200000000000004e-07
1459604818120,-9.655,0.0
1459604818130,-9.655,3.6200000000000004e-07
1459604818140,-9.655,0.0
1459604818150,-9.655,0.0
1459604818160,-9.655,3.6200000000000004e-07
1459604818170,-9.655,3.6200000000000004e-07
1459604818180,-9.655,3.6200000000000004e-07
1459604818190,-9.655,0.0
1459604818200,-9.655,0.0
1459604818210,-9.655,0.0
1459604818220,-9.655,7.240000000000001e-07
1459604818230,-9.655,0.0
1459604818240,-9.655,3.6200000000000004e-07
1459604818250,-9.655,0.0
1459604818260,-9.655,7.240000000000001e-07
1459604818270,-9.655,0.0
1459604818280,-9.655,0.0
1459604818290,-9.655,3.6200000000000004e-07
1459604818300,-9.655,0.0
1459604818310,-9.655,7.240000000000001e-07
1459604818320,-9.655,0.0
