Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607402910,8.335,0.0
1459607402920,8.335,1.0859999999999999e-06
1459607402930,8.335,7.240000000000001e-07
1459607402940,8.335,1.0859999999999999e-06
1459607402950,8.335,3.6200000000000004e-07
1459607402960,8.335,7.240000000000001e-07
1459607402970,8.335,3.6200000000000004e-07
1459607402980,8.335,3.6200000000000004e-07
1459607402990,8.335,3.6200000000000004e-07
1459607403000,8.335,3.6200000000000004e-07
1459607403010,8.335,0.0
1459607403020,8.335,1.0859999999999999e-06
1459607403030,8.335,0.0
1459607403040,8.335,1.0859999999999999e-06
1459607403050,8.335,3.6200000000000004e-07
1459607403060,8.335,1.0859999999999999e-06
1459607403070,8.335,0.0
1459607403080,8.335,0.0
1459607403090,8.335,3.6200000000000004e-07
1459607403100,8.335,3.6200000000000004e-07
1459607403110,8.335,3.6200000000000004e-07
1459607403120,8.335,7.240000000000001e-07
1459607403130,8.335,1.4480000000000002e-06
1459607403140,8.335,0.0
1459607403150,8.335,0.0
1459607403160,8.335,0.0
1459607403170,8.335,0.0
1459607403180,8.335,7.240000000000001e-07
1459607403190,8.335,3.6200000000000004e-07
1459607403200,8.335,0.0
1459607403210,8.335,1.0859999999999999e-06
1459607403220,8.335,0.0
1459607403230,8.335,7.240000000000001e-07
1459607403240,8.335,7.240000000000001e-07
1459607403250,8.335,3.6200000000000004e-07
1459607403260,8.335,3.6200000000000004e-07
1459607403270,8.335,3.6200000000000004e-07
1459607403280,8.335,3.6200000000000004e-07
1459607403290,8.335,0.0
1459607403300,8.335,7.240000000000001e-07
1459607403310,8.335,3.6200000000000004e-07
1459607403320,8.335,7.240000000000001e-07
1459607403330,8.335,0.0
1459607403340,8.335,1.0859999999999999e-06
1459607403350,8.335,0.0
1459607403360,8.335,7.240000000000001e-07
1459607403370,8.335,0.0
1459607403380,8.335,1.4480000000000002e-06
1459607403390,8.335,0.0
1459607403400,8.335,3.6200000000000004e-07
1459607403420,8.335,0.0
1459607403430,8.335,7.240000000000001e-07
1459607403440,8.335,0.0
